Region,Office PBI,Project Title,Transparency Portal,Country TRANSPARENCY,Budget,Expenses from TP,EXPENSES without minos
Global,HQ Unit,UNDP Water Governance Support Programme,https://open.undp.org/projects/00050169,Bureau Policy & Prog Support,16524303.00,11361125.00,11361125
RBEC,Georgia,Multi Hazard Early Warning,https://open.undp.org/projects/00094354,GEO,16958614,11556395,11556395
RBEC,Republic of Moldova,Support to Confidence Building Measures Programme IV,https://open.undp.org/projects/00081246,MDA,11901819,11791807,11791807
RBA,Malawi,Modernized Climate (M-CLIMES),https://open.undp.org/projects/00102187,MWI,13068073,12074960,12074960
RBAP,Bhutan,Enhancing Sustainable Resilient livelihood,https://open.undp.org/projects/00080725,BTN,14260421,12629747,12629747
RBAP,China,Water Resources Management,https://open.undp.org/projects/00047419,CHN,17549550,13524055,13524055
RBAP,Pakistan,Scaling-up of GLOF Risk Reduction in North Pakistan,https://open.undp.org/projects/00102590,PAK,38558648,15167442,15167442
RBAP,Samoa,Pacific Adaptation to Climate Change (PACC) Full Size,https://open.undp.org/projects/00051000,WSM,18024316,15599475,15599475
Global,HQ Unit,UNDP Capacity Development Network for Water Management,https://open.undp.org/projects/00044301,Bureau Policy & Prog Support,17870584.00,15621988.00,15621988
RBAS,Syria,Rehabilitation and livelihoods opportunities to PWD,https://open.undp.org/projects/00118353,SYR,23765962,15724837,15724837
RBA,Comoros,Ensuring climate resilient water Comoros -PIMS-5740-GCF,https://open.undp.org/projects/00102496,COM,25055892.00,16637005.00,16637005
RBLAC,Haiti,Programme de relÃ¨vement post-Matthew,https://open.undp.org/projects/00099905,HTI,21181778,17437507,17437507
RBAS,Egypt,Enhancing Climate Change Adaptation in the NC & ND,https://open.undp.org/projects/00098798,EGY,20155040,17459552,17459552
RBAS,Sudan,Common Humanitarian Fund 2015,https://open.undp.org/projects/00088037,SDN,30420787,17549275,17549275
RBAP,Nepal,Livelihood Recovery for Peace,https://open.undp.org/projects/00057322,NPL,19592397,17863585,17863585
RBAS,Somalia,Enhancing Climate Resilience of Vulnerable Communities,https://open.undp.org/projects/00084974,SOM,21792773,18153766,18153766
RBAS,Syria,Agricultural Livelihoods and Rural Development,https://open.undp.org/projects/00113008,SYR,24136391,18516589,18516589
RBAP,Indonesia,Prog. for EQ & Tsunami Infrastruc. Recon. Asst. (PETRA),https://open.undp.org/projects/00116311,IND,28090478,19835507,19835507
RBAP,Sri Lanka,Integrated Water Management,https://open.undp.org/projects/00057445,LKA,38156107,20300330,20300330
RBAP,Maldives,GCF-Managing climate change induced water shortages,https://open.undp.org/projects/00094293,MDV,32728492.00,22077165.00,22077165
RBEC,Serbia,Accelerated Delivery Initiative,https://open.undp.org/projects/00102693,SRB,25068511,22427243,22427243
RBAP,Samoa,Green Climate Fund Vaisigano River Catchment,https://open.undp.org/projects/00098736,WSM,37175885,23965907,23965907
RBEC,Bosnia and Herzegovina,Mainstreaming Green Environmental Development,https://open.undp.org/projects/00048025,BIH,29752153,24718685,24718685
RBAP,Bangladesh,Disaster Response and Recovery Facility (DRRF),https://open.undp.org/projects/00113842,BGD,36939197.00,25070983.00,25070983
RBA,Kenya,2KEN012/205 Integrated support to Devolution,https://open.undp.org/projects/00068057,KEN,25739269,25456569,25456569
RBAS,Sudan,Support humanitarian work in Sudan 2014,https://open.undp.org/projects/00078929,SDN,39125658,26058975,26058975
RBAS,Syria,Rehabilitation of Social Services and Infrastructure,https://open.undp.org/projects/00113685,SYR,44445858,28856454,28856454
RBAS,Lebanon,Palestinian Gatherings Host Communities 2,https://open.undp.org/projects/00093058,LBN,31701514,29303004,29303004
RBAP,Indonesia,GCF - Indonesia REDD+ Results Based Payment,https://open.undp.org/projects/00129343,IND,32508617,30908436,30908436
RBAS,Syria,Electricity and Energy Support,https://open.undp.org/projects/00113007,SYR,45841893,31032924,31032924
RBAS,Sudan,Darfur Development Strategy (DDS) FaST Projects,https://open.undp.org/projects/00086522,SDN,47285782,31737069,31737069
RBAS,Sudan,Support humanitarian work in Sudan 2013,https://open.undp.org/projects/00073565,SDN,59613777,32761788,32761788
RBA,Nigeria,Integrated Community Stabilization,https://open.undp.org/projects/00108936,NGA,47156930,34077924,34077924
RBLAC,Ecuador,Green Climate Fund,https://open.undp.org/projects/00100778,ECU,41186636,36573115,36573115
RBAS,Prog for Palestinian People,Construction of Sewage Treatment Plant in Khan Younis,https://open.undp.org/projects/00041529,PSE,45594252.00,42459983.00,42459983
RBAS,Lebanon,Increasing Access to Water in Host-Communities,https://open.undp.org/projects/00077399,LBN,53761718,50940094,50940094
RBA,Nigeria,Stabilization Facility-Nigeria Window,https://open.undp.org/projects/00123140,NGA,60495274,52666236,52666236
RBAS,Jordan,Mitigating the impact of the Syrian refugee crisis on Jo,https://open.undp.org/projects/00072487,JOR,65973752,56150293,56150293
RBAP,Bangladesh,Inception Phase - National Urban Poverty Reduction Programme,https://open.undp.org/projects/00084928,BGD,73405999.00,66530540.00,66530540
RBAP,Pakistan,Stabilization and Development Programme,https://open.undp.org/projects/00088875,PAK,96357480,69846078,69846078
RBAS,Sudan,Sudan Common Humanitarian Fund 2010,https://open.undp.org/projects/00059485,SDN,107581780,72160274,72160274
RBAP,Regional Bureau for Asia and the Pacific,Achieving 2030 Agenda for Sustainable Development in AP,https://open.undp.org/projects/00112026,"LAO, PDR, KHM",107546496,82136512,82136512
RBAS,Morocco,DÃ©veloppement Territorial IntÃ©grÃ© et Durable Sidi Ifni,https://open.undp.org/projects/00093597,MAR,10000,0,0
RBA,Benin,SUPPORT TO NDC BENIN,https://open.undp.org/projects/00136084,BEN,378000,12099,12099
RBA,Burkina Faso,Phase prÃ©paratoire Projet d'Assurance Climatique,https://open.undp.org/projects/00103744,BFA,111732,43451,43451
RBAS,Morocco,Sustainable Cities Impact Program - Morocco,https://open.undp.org/projects/00128412,MAR,50000,48466,48466
RBA,Cabo Verde,CapacitÃ©s Techniques et Fonctionelles Secteurs sociaux,https://open.undp.org/projects/00065400,CPV,67121,53245,53245
RBAS,Morocco,United Nations Convention Combat Desertification UNCCD,https://open.undp.org/projects/00112972,MAR,98700,59514,59514
RBA,Côte d’Ivoire,SERVICE COMMUN BUREAU DE GUIGLO,https://open.undp.org/projects/00096194,CIV,100550,63311,63311
RBAS,Djibouti,Post-Sagar recovery coordination,https://open.undp.org/projects/00114215,DJI,66593,63422,63422
RBA,Mali,SÃ©curitÃ© climatique gestion ressources naturelles,https://open.undp.org/projects/00139608,MLI,91000,84726,84726
RBA,Côte d’Ivoire,Renforcement Resilience Populations Catastrophes,https://open.undp.org/projects/00112798,CIV,107736,85962,85962
RBA,Benin,Etudes Prospectives (PEPRCP),https://open.undp.org/projects/00142914,BEN,452115,88721,88721
RBAS,Djibouti,PPG Land Degradation,https://open.undp.org/projects/00106641,DJI,150654,98449,98449
RBAS,Morocco,Morocco NAP-GCF,https://open.undp.org/projects/00135238,MAR,296193,110006,110006
RBLAC,Haiti,Developpement de projets,https://open.undp.org/projects/00134150,HTI,115000,113164,113164
RBA,Cabo Verde,BiodiversitÃ© et Aires ProtegÃ©s,https://open.undp.org/projects/00012227,CPV,135315,117591,117591
RBA,Burkina Faso,Climate resilience in the Nakambe Basin,https://open.undp.org/projects/00090369,BFA,136000,134312,134312
RBLAC,Haiti,PPG RÃ©silience du secteur Eau,https://open.undp.org/projects/00128057,HTI,157710,139728,139728
RBAS,Tunisia,IP-Mobilisation des ressources,https://open.undp.org/projects/00091928,TUN,232151,147848,147848
RBA,Benin,RÃ©ponse aux Inondations,https://open.undp.org/projects/00125477,BEN,150000,149530,149530
RBA,Democratic Republic of the Congo,EnquÃªte suivi des ODD,https://open.undp.org/projects/00128669,COD,494385,155739,155739
RBA,Burkina Faso,Phase prÃ©paratoire PONASI,https://open.undp.org/projects/00108971,BFA,212756,174601,174601
RBA,Côte d’Ivoire,SÃ©curitÃ© Humaine dans le GbÃªke,https://open.undp.org/projects/00139926,CIV,209312,188073,188073
RBA,Mali,Programme dâ€™Urgences Sociales,https://open.undp.org/projects/00120965,MLI,736015.00,199793.00,199793
RBA,Mali,Conservation des Ã©lÃ©phants du Gourma,https://open.undp.org/projects/00097382,MLI,364347,208141,208141
RBA,Togo,AmÃ©lioration de la Gouvernance de l'eau au Togo,https://open.undp.org/projects/00082650,TGO,219468,212030,212030
RBA,Congo Brazzaville,Appui aux changements climatiques,https://open.undp.org/projects/00125411,COG,600892,223671,223671
RBA,Mali,Plates Formes Multifonctionnelles,https://open.undp.org/projects/00095457,MLI,238000,230762,230762
RBLAC,Haiti,Elaboration de projets Green Climate Fund,https://open.undp.org/projects/00107538,HTI,366200,309432,309432
RBA,Burundi,Protection de lEnvironnement,https://open.undp.org/projects/00142281,BDI,366000,355369,355369
RBA,Côte d’Ivoire,Assistance au demarrage PPSD,https://open.undp.org/projects/00119075,CIV,406400,399551,399551
RBA,Guinea,Renforcement CapacitÃ©s Elaboration PNA FVC,https://open.undp.org/projects/00094653,GIN,1225818,463287,463287
RBAS,Morocco,Appui au suivi et au reporting des ODD,https://open.undp.org/projects/00097572,MAR,922737,503420,503420
RBLAC,Haiti,Renforcement des capacites de prevention des risques,https://open.undp.org/projects/00138903,HTI,822034,588452,588452
RBAS,Tunisia,Supporting the acceleration of the NDC ambition,https://open.undp.org/projects/00123693,TUN,781894,592746,592746
RBA,Guinea,Gestion DÃ©centralisÃ©e l'Environnement Convention  RIO,https://open.undp.org/projects/00086659,GIN,720496,678668,678668
RBAS,Morocco,AGORA 2 - Appui gouvernance rÃ©gionalisation avancÃ©e,https://open.undp.org/projects/00098203,MAR,1097713.00,748417.00,748417
RBA,Congo Brazzaville,Appui gestÂ° durables-Econ. Forest. & Diver. Ã©conomique,https://open.undp.org/projects/00099760,COG,1190759,749426,749426
RBA,Togo,Projet dâ€™appui aux CDN du Togo,https://open.undp.org/projects/00123492,TGO,776721,755344,755344
RBLAC,Haiti,Installation Pompes Solaires,https://open.undp.org/projects/00128342,HTI,1858988,766122,766122
RBA,Côte d’Ivoire,Appui aux reformes institutionnelles et modernisation,https://open.undp.org/projects/00097538,CIV,937151,771933,771933
RBAS,Morocco,AmÃ©lioration accueil usagers services publics,https://open.undp.org/projects/00073284,MAR,1771126,794484,794484
RBAS,Morocco,MERAD - Mise en oeuvre de lâ€™Evaluation des RÃ©sultats des ActivitÃ©s de DÃ©veloppement,https://open.undp.org/projects/00098187,MAR,2331073,841256,841256
RBA,Togo,PIMS 4460_CCCD Togo-Strengthening Nat. & Decentr. Mgt,https://open.undp.org/projects/00077674,TGO,939687,915344,915344
RBA,Togo,AccÃ¨s aux Ã©nergies renouvelables en milieu rural au Togo,https://open.undp.org/projects/00134793,TGO,1431552,921616,921616
RBA,Togo,RÃ©duction de la pauvretÃ© et localisation des OMD,https://open.undp.org/projects/00049972,TGO,945887,947086,947086
RBA,Mauritania,Development Support Services Mauritania,https://open.undp.org/projects/00057189,MRT,986357,965001,965001
RBA,Burkina Faso,PrÃ©vention et gestion des conflits dans la RÃ©gion lâ€™Est,https://open.undp.org/projects/00133064,BFA,1919483,978092,978092
RBA,Burkina Faso,AmÃ©lioration confiance Administration Population SÃ©curit,https://open.undp.org/projects/00116880,BFA,1252150,1080132,1080132
RBA,Democratic Republic of the Congo,Plan National dâ€™Adaptation-PNA,https://open.undp.org/projects/00111325,COD,1890191,1128476,1128476
RBA,Côte d’Ivoire,Appui au programme,https://open.undp.org/projects/00117730,CIV,2590472,1163431,1163431
RBAS,Morocco,Climat AT&RC DÃ©veloppement Durable Inclusif,https://open.undp.org/projects/00105395,MAR,1926263,1236280,1236280
RBA,Côte d’Ivoire,Planification Strategique Developpement,https://open.undp.org/projects/00097536,CIV,1618064,1331656,1331656
RBA,Mali,AmÃ©lioration Environnement avec communautÃ©s ONG/OCB,https://open.undp.org/projects/00060166,MLI,1357692,1347305,1347305
RBA,Gabon,Services dinformation climat,https://open.undp.org/projects/00119479,GAB,1608725,1425212,1425212
RBAS,Morocco,Renforcement capacitÃ©s faibles Ã©missions au Maroc,https://open.undp.org/projects/00061792,MAR,1910986,1434106,1434106
RBA,Mali,GÃ©nÃ©ration davantages globaux des systÃ¨mes dinfos,https://open.undp.org/projects/00098057,MLI,1491775,1459639,1459639
RBA,Mali,Promotion produc dElecrticitÃ© par Technologies Hybrides,https://open.undp.org/projects/00089433,MLI,1641678,1519634,1519634
RBAS,Morocco,Adaptation changement climatique dans les oasis,https://open.undp.org/projects/00058671,MAR,1753639,1523151,1523151
RBA,Côte d’Ivoire,Renforcement Integration Adaptation dans planification,https://open.undp.org/projects/00100008,CIV,2536696,1626457,1626457
RBA,Congo Brazzaville,PIMS 5612-Integrated and Transb-TRIDOM,https://open.undp.org/projects/00092643,COG,1970173,1681491,1681491
RBA,Mali,Accelerator Lab â€“ Mali,https://open.undp.org/projects/00119445,MLI,2225894,1866285,1866285
RBA,Mauritania,Appui Gouvernance Regionale et Developpement,https://open.undp.org/projects/00091502,MRT,2213167,1871491,1871491
RBA,Democratic Republic of the Congo,Projet dappui Ã  la mise en Å“uvre du CDN en RDC,https://open.undp.org/projects/00117571,COD,3421120,1977631,1977631
RBA,Burkina Faso,Accelerator Lab â€“ BFA,https://open.undp.org/projects/00119381,BFA,2764424,2104913,2104913
RBA,Congo Brazzaville,Catalisation de la gestion durable des forÃªts sur le site des zones humides transfrontaliÃ¨res des lacs TÃ©lÃ© et Tumba.,https://open.undp.org/projects/00061704,COG,2572703,2184122,2184122
RBA,Togo,Rationalizing Togo PA System - PIMS 4220/FSP,https://open.undp.org/projects/00060926,TGO,2613313,2299133,2299133
RBA,Congo Brazzaville,RÃ©ponse au relÃ¨vement,https://open.undp.org/projects/00114192,COG,2907733,2303556,2303556
RBA,Senegal,PLAN NATIONAL ADAPTATION SENEGAL,https://open.undp.org/projects/00110519,SEN,4015255,2390079,2390079
RBLAC,Haiti,Renforcement de la capacitÃ© de lUCP des Projets PPI,https://open.undp.org/projects/00092199,HTI,2693434,2405737,2405737
RBA,Burundi,Services EnergÃ©tiques Ruraux,https://open.undp.org/projects/00124212,BDI,7260535,2405748,2405748
RBA,Guinea,Programme Entreprenariat et Autonomisation,https://open.undp.org/projects/00128030,GIN,2860176,2440483,2440483
RBA,Democratic Republic of the Congo,Renforcement de la gouvernance et des cap pour NEW DEAL,https://open.undp.org/projects/00105546,COD,2728750,2471183,2471183
RBA,Mali,Jeunes et Paix,https://open.undp.org/projects/00117247,MLI,3014745,2474098,2474098
RBA,Mali,Gestion et amÃ©lioration EcosystÃ¨me Ã©lÃ©phants du Gourma,https://open.undp.org/projects/00108261,MLI,5126728,2499492,2499492
RBA,Mali,Appui conjoint Partenaires Tech Financ Pool Technique II,https://open.undp.org/projects/00065290,MLI,3038048,2552099,2552099
RBA,Democratic Republic of the Congo,APPUI AU RELEVEMENT,https://open.undp.org/projects/00134305,COD,5635642,2594403,2594403
RBA,Guinea,Support for the development of aquaculture,https://open.undp.org/projects/00114679,GIN,3131615,2612957,2612957
RBA,Mali,Fonds Commun de Renforcement des Capacities du Secreteriat,https://open.undp.org/projects/00059873,MLI,2844236,2804581,2804581
RBA,Democratic Republic of the Congo,"Sustainable energy for women empowerment, agriculture",https://open.undp.org/projects/00087442,COD,3709733,2835755,2835755
RBA,Mali,Extention et Renforcement SystÃ¨mes Aires ProtÃ©gÃ©es ERSAP,https://open.undp.org/projects/00060646,MLI,3117033,2879135,2879135
RBA,Togo,Changements climatiques et Ã©nergie,https://open.undp.org/projects/00114341,TGO,3014000,3083213,3083213
RBAS,Tunisia,Programme de renforcement des cap Nat et Locales en RRC,https://open.undp.org/projects/00098883,TUN,3326183,3092702,3092702
RBA,Democratic Republic of the Congo,DÃ©centralisation IntÃ©grÃ©e & DÃ©veloppement Durable,https://open.undp.org/projects/00136428,COD,5889521,3272382,3272382
RBA,Togo,RÃ©silience des communautÃ©s et des Ã©cosystÃ¨mes,https://open.undp.org/projects/00117913,TGO,3459600,3293247,3293247
RBA,Guinea,PIMS:4780-Promouvoir un marchÃ© pour la ressource Biogaz,https://open.undp.org/projects/00086969,GIN,3504535,3307829,3307829
RBA,Togo,Renforcement gouvernance et institutions dÃ©mocratiques,https://open.undp.org/projects/00124006,TGO,5087034,3526370,3526370
RBA,Burkina Faso,PROJET DAPPUI AU PLAN NATIONAL DE DÃ‰VELOPPEMENT,https://open.undp.org/projects/00112861,BFA,5573881,3846017,3846017
RBLAC,Haiti,RÃ©silience aux dÃ©sastres dÃ©partement Nord,https://open.undp.org/projects/00084890,HTI,4570344,3899570,3899570
RBAS,Morocco,Renforcement opÃ©rationnel du 4C Maroc,https://open.undp.org/projects/00109738,MAR,4657844,3917406,3917406
RBA,Côte d’Ivoire,Renforcement des CapacitÃ©s PrÃ©vention des Catastrophes,https://open.undp.org/projects/00106431,CIV,4950251,3964914,3964914
RBA,Mali,Programme dâ€™Appui Ã  la Gestion de lâ€™Environnement et la Promotion du DÃ©veloppement Durable au Mali (PAGEDD),https://open.undp.org/projects/00061686,MLI,4508889,4000588,4000588
RBA,Burkina Faso,Programme dAmÃ©lioration des Moyens dExistence Durables,https://open.undp.org/projects/00116732,BFA,6067421,4023391,4023391
RBA,Guinea,Renf. Resilience Moyens DExistance CommunaurÃ©s GKM,https://open.undp.org/projects/00072521,GIN,4181936,4051110,4051110
RBA,Guinea,Gestion IntÃ©grÃ©e des Ressources Naturelles,https://open.undp.org/projects/00107166,GIN,4830630,4068906,4068906
RBA,Mali,Transfer of Knowledge through Expatriate National,https://open.undp.org/projects/00050830,MLI,4770616,4190797,4190797
RBAS,Djibouti,Adaptation aux effets du Changement Climatique,https://open.undp.org/projects/00066414,DJI,6332940,4285316,4285316
RBA,Guinea,Programme Environnement et Gest. Durable du Capital Nat,https://open.undp.org/projects/00107168,GIN,5628899,4347492,4347492
RBA,Benin,SystÃ¨me Alertes PrÃ©cauces,https://open.undp.org/projects/00074268,BEN,4543338,4379050,4379050
RBA,Benin,Business Promotion Center,https://open.undp.org/projects/00066629,BEN,4734667,4583333,4583333
RBA,Burkina Faso,Programme dâ€™Appui aux Parcs de lâ€™Entente: Interventions dans les aires protÃ©gÃ©es-Phase II,https://open.undp.org/projects/00085938,BFA,5197708,4625253,4625253
RBAS,Morocco,Appui Ã  l'organisation de la COP22,https://open.undp.org/projects/00096480,MAR,5352034,4629644,4629644
RBA,Benin,Strengthening the resilience of rural livelihoods and sub-national government system to climate risks and variability,https://open.undp.org/projects/00107827,BEN,5305603,4917948,4917948
RBLAC,Haiti,Appui au Programme,https://open.undp.org/projects/00057026,HTI,5928028,4963668,4963668
RBA,Democratic Republic of the Congo,RESILIENCE DES FEMMES ET ENFANTS AU CC,https://open.undp.org/projects/00082660,COD,6083447,5246503,5246503
RBAS,Djibouti,Adaptation Climate Change regions montagneuses,https://open.undp.org/projects/00079962,DJI,7727049,5365268,5365268
RBA,Burkina Faso,PROJET DE RENFORCEMENT DES CAPACITES NATIONALES DE RESILIENCE AU BURKINA FASO,https://open.undp.org/projects/00083021,BFA,6402732,5582815,5582815
RBLAC,Haiti,Renforcement du systÃ¨me de gestion des dÃ©chets solides,https://open.undp.org/projects/00099802,HTI,6659642,5925064,5925064
RBA,Democratic Republic of the Congo,UN-REDD DR Congo Quick Start Programme,https://open.undp.org/projects/00058024,COD,8200818,7229939,7229939
RBLAC,Haiti,Plan de PrÃ©vention SÃ©isme Grand Nord DHaiti,https://open.undp.org/projects/00062058,HTI,9001888,8351797,8351797
RBA,Mali,Adaptation Changements Climatiques Mopti/ Tombouctou,https://open.undp.org/projects/00064182,MLI,8874124,8737510,8737510
RBA,Mali,Gestion des risques dinondations et climatiques,https://open.undp.org/projects/00095070,MLI,9940407,8796800,8796800
RBA,Benin,Millenium Villages project,https://open.undp.org/projects/00061195,BEN,9916334,8981314,8981314
RBA,Guinea,PIMS:5176-ADAPTATION BASEE-Ã‰COSYSTÃˆMES (AbE) Haute Guin,https://open.undp.org/projects/00092295,GIN,9802479,9631517,9631517
RBLAC,Haiti,Adaptation basÃ©e sur les Ã©cosystÃ¨mes,https://open.undp.org/projects/00081100,HTI,10489389,9939447,9939447
RBA,Benin,preservation and development of gallery forests and productionof digital base mapping,https://open.undp.org/projects/00071263,BEN,10216325,9991477,9991477
RBA,Democratic Republic of the Congo,SUIVI EVALUATION UNIT PROJECT,https://open.undp.org/projects/00056628,COD,11672971,10015204,10015204
RBA,Congo Brazzaville,Changements climatiques,https://open.undp.org/projects/00045154,COG,12451218,10307022,10307022
RBLAC,Haiti,Vers lÃ©limination du paludisme en HaÃ¯ti,https://open.undp.org/projects/00133065,HTI,24678864,10493893,10493893
RBA,Mali,Renforcemt de la rÃ©silience des groupes de femmes au CC,https://open.undp.org/projects/00082341,MLI,13728790,13062244,13062244
RBA,Côte d’Ivoire,APPUI REDUCTION PAUVRETE/Objectifs millenaire pour developpement,https://open.undp.org/projects/00058208,CIV,14359675,13319596,13319596
RBLAC,Haiti,Appui Ã  la gestion opÃ©rationnelle des Projets PPI,https://open.undp.org/projects/00090651,HTI,14017873,13580801,13580801
RBLAC,Haiti,Programme de RelÃ¨vement ImmÃ©diat,https://open.undp.org/projects/00050968,HTI,24524433,21846655,21846655
RBAS,Morocco,POS - Programme Oasis du Sud Guelmim-Assa-Tata,https://open.undp.org/projects/00043456,MAR,47204944,43098024,43098024
RBA,Burundi,Fonds Mondial / Paludisme 2021-2023,https://open.undp.org/projects/00130964,BDI,73086508,55241166,55241166
RBA,Togo,AccÃ©lÃ©rer leur accÃ¨s aux services sociaux et Ã©conomiques Ã  la base.,https://open.undp.org/projects/00105760,TGO,164780824.00,56326200.00,56326200
RBLAC,Venezuela (Bolivarian Republic of),APOYO A LOS SISTEMAS NACIONALES DE SERVICIOS PUBLICOS,https://open.undp.org/projects/00115045,VEN,56500001,0,0
RBLAC,Paraguay,Mejoramiento de la Transparencia Climatica en Paraguay,https://open.undp.org/projects/00145261,PRY,302428,852,852
RBLAC,Paraguay,Monitoreo de Bosques y Usos de la Tierra Chaco Paraguayo,https://open.undp.org/projects/00142688,PRY,53376,22890,22890
RBLAC,Paraguay,EF Fomento y DifusiÃ³n del Desarrollo Humano,https://open.undp.org/projects/00117766,PRY,48000,48000,48000
RBLAC,Mexico,Fort. del Sistema Nacional de Salvaguardas REDD+,https://open.undp.org/projects/00083827,MEX,320999,320892,320892
RBLAC,Paraguay,Apoyo a la preparaciÃ³n del Segundo Informe Bienal de ActualizaciÃ³n de Paraguay ante la Conferencia de las Partes en la ConvenciÃ³n Marco de las Naciones Unidas sobre el Cambio ClimÃ¡tico (CMNUCC),https://open.undp.org/projects/00105722,PRY,352000,349233,349233
RBLAC,Paraguay,Mapeo de Inversiones para el Desarrollo Sostenible,https://open.undp.org/projects/00123355,PRY,424307,422875,422875
RBLAC,Ecuador,Apoyo a la finalizaciÃ³n de la fase de preparaciÃ³n para REDD+ en Ecuador y arranque de la implementaciÃ³n del Marco de Varsovia para REDD+,https://open.undp.org/projects/00087176,ECU,613159,490646,490646
RBLAC,Ecuador,Resiliencia de la poblaciÃ³n,https://open.undp.org/projects/00117452,ECU,591950,517282,517282
RBLAC,Paraguay,Cuarta ComunicaciÃ³n Nacional y Tercer Informe Bienal,https://open.undp.org/projects/00118272,PRY,775843,728806,728806
RBLAC,Cuba,Immediate recovery of houses Sancti SpÃ­ritus,https://open.undp.org/projects/00106735,CUB,981262,893558,893558
RBLAC,Venezuela (Bolivarian Republic of),Apoyo a hospitales,https://open.undp.org/projects/00120437,VEN,1306942,928160,928160
RBLAC,Paraguay,Accelerator Lab â€“ Paraguay,https://open.undp.org/projects/00121773,PRY,1163712,942797,942797
RBLAC,Paraguay,Contribuciones Nacionales al Cambio ClimÃ¡tico,https://open.undp.org/projects/00113237,PRY,1603042,1137028,1137028
